Documents,Date,Sentiment
lahat sila lbm tapos mag isa  lang  kakampink ayaw   lang sumagot kasi baka ako  mapasama godbless  lang  inyo sana masarap ulam nyo lagi,2022-05-14 07:59:56,neutral
truueee para tayo yung nag victory party sila nag sasaya lang dahil  pagkapanalo  kandidato nila tayo nag sasaya dahil  pag asa muling binigay   leni cherry blossom growing heart kaya laban kakampink smiling face with smiling eyes,2022-05-14 07:59:51,positive
salamat   inyong lahat proud kakampink suggest lng  sir sana magkaroon kami  ids recognize   solid supporters  angat buhay ngo,2022-05-14 07:59:32,neutral
yung bbm supporter dito samin kinukwentuhan ako  may nanay daw nagchika  kanya  yung anak niya daw  ilang araw  nawawala kaka attend  rallies implication also aktibista   kakaiba  sumagot kasi kakampink  nga daw,2022-05-14 07:59:24,neutral
kakampinks aalis ang mga  investors  atin pag  bbm manalo cinongratulate  president    bbm paano  namn ititwist  kakampink ,2022-05-14 07:58:20,neutral
actually nagorder pako  kakampink merch  linya linya  lazada kahapon haha pero sad out  stock yong iba,2022-05-14 07:56:39,positive
there are two types  kakampink isang nag iisip  hindi nag iisip you are gunning for the latter,2022-05-14 07:56:14,positive
are you  filipino    kakampink yawning face daghana   sobraan ani nila  sige kakampink  suwat  imong nationality waa  hahhahahahah,2022-05-14 07:53:53,positive
ako lang      effect  lahat walang  nahihiya magheart and comment   posts and photos very comfortably  facebook and other socmeds   friend  talaga sila  person cherry blossom sparkling heart cherry blossom sparkling heart cherry blossom sparkling heart cherry blossom sparkling heart,2022-05-14 07:52:35,positive
iiyak titindig punas luha umpisa palang ang laban kaya maging matatag malakas  matapang flexed biceps dahil ang ating    palagi malakas  nananatiling nakatindig para  ating lahat white heart,2022-05-14 07:50:28,neutral
kung ako lang masusunod para lang  kakampink ang angat buhay kasi why not diba pinili nyo yan magtiis kayo kung ano kaya ibigay nyan pero iba  madam walang kulay kulay lahat kasama iba   magmahal madam,2022-05-14 07:50:08,positive
 nga nagparecount sabi  mga kakampink   matanggap ang resulta  eleksyon,2022-05-14 07:48:09,neutral
tulad  pagclaim  madaming kakampink  may dayaan ngayong eleksyon,2022-05-14 07:45:31,neutral
patikim naman  palawe ong kakampink ,2022-05-14 07:45:02,positive
ang mga talaga  party people noh ,2022-05-14 07:42:25,neutral
 mga kakampink kong friends volunteer tayo  sparkling heart sparkling heart sparkling heart,2022-05-14 07:40:40,neutral
 andito nagtotroll  post  kakampink unamused face bat  sila dun magusap usap  side nila  nga  sila masaya ,2022-05-14 07:40:09,positive
uyy buti nalang mag vovolunteer ako dito  lugar namin  yung mayor rin namin kakampink smiling face with smiling eyes,2022-05-14 07:38:10,positive
 leni wala tayong pipiliin  tutulungan kakampink  masama parin loob ano sabi  madam nabingi ako bigla hahaahahhahahahahahaa ems,2022-05-14 07:36:03,neutral
mga kakampink nasa puke  ang gobyernong tapat,2022-05-14 07:27:34,N/A
